Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_range,MonthlyIncome_range,experience,last_promotion,experienceInCurrentRole
33,0,F,1141,Sales,-1.5053496669764959,3,LE,52,3,Female,42,4,2,SE,1,Married,0.05591774382156595,3193,0.019234092976174,0,19,3,1,2,0.14841116175654057,3,3,-0.026393511770457165,0.009519418526307482,-0.11727146504788616,0.04493463955819317,30's,5k-10k,10-20,<5,<5
35,0,R,464,Re&De,-0.43476288709933963,2,Other,53,3,Male,75,3,1,LT,4,Divorced,-1.4699004006473197,10910,-0.5864173580242138,0,12,3,3,1,-2.292544621589625,3,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
27,0,R,1240,Re&De,-1.0316074699401947,4,LE,54,4,Female,33,3,1,LT,1,Divorced,-1.1956129106341409,19715,-0.5864173580242138,0,13,3,4,1,-2.292544621589625,6,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,20's,<5k,<10,<5,<5
26,1,R,1357,Re&De,1.4915166961003585,3,LE,55,1,Male,48,1,1,LT,3,Single,-1.2267959395191619,10558,-0.5864173580242138,0,12,3,3,0,-2.292544621589625,2,2,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-0.8150542438112763,20's,<5k,<10,<5,<5
27,0,F,994,Sales,0.2520023621193102,3,LE,56,4,Male,37,3,3,SE,3,Single,0.7851761317144396,2975,-0.5864173580242138,0,15,3,4,0,0.01194059718201139,0,3,0.6487547716317403,1.0310406461599277,-0.11727146504788616,0.9049235229276625,20's,5k-10k,<10,<5,5-10
30,0,F,721,Re&De,-1.5053496669764959,2,Medical,57,3,Female,58,3,2,LT,4,Single,-0.38504962081773697,10781,-0.5864173580242138,0,23,4,4,0,0.38760875109346676,2,3,0.9955165128995432,1.0310406461599277,0.7387994420424154,0.9049235229276625,30's,<5k,10-20,<5,5-10
41,1,R,1360,Re&De,0.6816490610771554,3,TD,58,2,Female,49,3,5,RD,3,Married,1.9993979153644692,16280,-0.5864173580242138,0,12,3,4,0,1.265486788148442,0,3,1.7495945463358997,1.7558214915211805,2.4509412562230186,1.0510571351745928,40's,15k-20k,20-30,15+,15+
34,0,N,1065,Sales,1.3979954351294148,4,Marketing,60,2,Male,72,3,2,SE,3,Single,-0.18928539469516692,10034,-1.6217853521327694,0,20,4,3,0,0.14841116175654057,2,3,0.6487547716317403,0.5202800323431175,1.7403381992547586,0.9049235229276625,30's,<5k,10-20,5-10,5-10
37,0,R,408,Re&De,1.1849723829470664,2,LE,61,2,Male,73,3,1,RS,2,Married,-0.8112590210546098,10227,0.7822646819350587,0,21,4,1,0,-0.1389206128713836,1,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
46,0,F,1211,Sales,-0.22173983491699154,4,Marketing,62,1,Male,98,3,2,SE,4,Single,0.16292370860484484,20445,0.7822646819350587,1,21,4,3,0,0.5925087204653425,4,3,0.6487547716317403,0.7144622055422116,-0.9733423721381878,1.0510571351745928,40's,5k-10k,10-20,<5,5-10
35,0,R,1229,Re&De,0.2520023621193102,1,LE,63,4,Male,36,4,1,LT,4,Married,-1.2426330000438421,4892,-0.5864173580242138,0,19,3,4,0,-2.292544621589625,2,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-0.8150542438112763,30's,<5k,<10,<5,<5
48,1,R,626,Re&De,-1.5053496669764959,2,LE,64,1,Male,98,2,3,LT,3,Single,0.057317341119836086,19294,1.8176326760436148,1,13,3,4,0,1.265486788148442,2,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,40's,5k-10k,20-30,<5,<5
28,1,R,1434,Re&De,-0.22173983491699154,4,TD,65,3,Male,50,3,1,LT,3,Single,-0.6157982347921857,11179,-0.5864173580242138,1,13,3,3,0,-1.711976498306294,3,2,-0.9425126477879964,-0.3528710041543192,0.38349791355828505,-0.31199299600307684,20's,<5k,<10,<5,<5
44,0,R,1488,Sales,-1.5053496669764959,5,Marketing,68,2,Female,75,3,2,SE,1,Divorced,0.07760469118324548,4009,1.0546020870847297,1,21,4,3,1,0.01194059718201139,2,2,-0.2673643643857992,0.009519418526307482,-0.11727146504788616,0.04493463955819317,40's,5k-10k,<10,<5,<5
35,0,N,1097,Re&De,0.5881278001062117,2,Medical,70,3,Male,79,2,3,Healthcare,1,Married,0.9727972931144644,8302,0.019234092976174,1,13,3,3,1,0.14841116175654057,3,3,-0.2673643643857992,-1.7367826544685656,0.38349791355828505,0.04493463955819317,30's,5k-10k,10-20,<5,<5
26,0,R,1443,Sales,1.3979954351294148,3,Marketing,72,3,Female,47,2,2,SE,4,Married,-0.3312248730759265,21436,1.484318630192897,1,19,3,3,1,-0.7194887361547153,2,2,-0.9425126477879964,-0.3528710041543192,-0.9733423721381878,-1.675043127180746,20's,<5k,<10,<5,<5
33,0,F,515,Re&De,-1.5053496669764959,2,LE,73,1,Female,98,3,3,RD,4,Single,1.437539917769147,15146,-0.5864173580242138,1,12,3,3,0,0.6849186648651102,1,3,1.2699494195012964,1.6745229185690997,1.7403381992547586,1.5072938939994467,30's,10k-15k,10-20,5-10,10-15
35,0,F,853,Sales,1.125041707062853,5,LE,74,2,Male,71,3,3,SE,1,Married,0.8432266454917574,11031,-0.5864173580242138,0,22,4,4,1,0.01194059718201139,3,2,0.6487547716317403,1.0310406461599277,-0.11727146504788616,1.0510571351745928,30's,5k-10k,<10,<5,5-10
35,0,R,1142,Re&De,1.3979954351294148,4,Medical,75,3,Female,30,3,1,LT,1,Married,-0.38392404959941484,16002,0.4489506360843417,1,15,3,3,1,-0.9805471649695675,3,3,-0.9425126477879964,-0.3528710041543192,0.38349791355828505,-0.31199299600307684,30's,<5k,<10,<5,<5
31,0,R,655,Re&De,0.11438560306990991,4,LE,76,4,Male,48,3,2,LT,4,Divorced,0.19976928151183154,9528,0.4489506360843417,0,22,4,4,1,0.14841116175654057,3,2,0.35383028348375706,0.8826704550237439,-0.11727146504788616,0.9049235229276625,30's,5k-10k,10-20,<5,5-10
37,0,R,1115,Re&De,-1.5053496669764959,4,LE,77,1,Male,51,2,2,MD,3,Divorced,0.21949323718313785,2689,-0.5864173580242138,0,18,3,3,1,-0.3075690972864685,2,4,0.35383028348375706,0.5202800323431175,-0.9733423721381878,0.9049235229276625,30's,5k-10k,<10,<5,5-10
32,0,R,427,Re&De,-1.5053496669764959,3,Medical,78,1,Male,33,3,2,MD,4,Married,0.2613622993842292,10877,-0.5864173580242138,1,22,4,2,1,0.01194059718201139,3,3,0.6487547716317403,1.0310406461599277,1.594870349132717,1.0510571351745928,30's,5k-10k,<10,5-10,5-10
38,0,F,653,Re&De,1.6587145799833682,5,LE,79,4,Female,50,3,2,LT,4,Single,-1.154389561135223,5456,-0.5864173580242138,0,11,3,4,0,0.14841116175654057,2,3,0.7747243810088977,0.009519418526307482,1.8704636253407945,1.1817781057751064,30's,<5k,10-20,5-10,<5
50,0,R,989,Re&De,0.11438560306990991,2,Medical,80,2,Female,43,2,5,RD,3,Divorced,1.9360673277553386,16701,1.0546020870847297,1,12,3,4,1,1.5849964826169212,2,2,2.0095827131562163,0.009519418526307482,2.2860234096023904,1.0510571351745928,50's,15k-20k,20-30,10-15,<5
59,0,R,1435,Sales,1.4915166961003585,3,LE,81,1,Female,99,3,3,SE,1,Single,0.5844707058369843,2354,1.484318630192897,0,11,3,4,0,1.536454302687859,3,2,1.6908435170264369,1.8321897620139254,1.594870349132717,1.1817781057751064,50's,5k-10k,20-30,5-10,15+
36,0,R,1223,Re&De,0.2520023621193102,3,TD,83,3,Female,59,3,3,Healthcare,3,Divorced,1.0047507735710701,8202,-0.5864173580242138,0,13,3,2,3,0.8535671492801944,2,3,1.4256209650104064,1.6745229185690997,2.194496414003837,1.0510571351745928,30's,10k-15k,10-20,10-15,10-15
55,0,R,836,Re&De,0.2520023621193102,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,1.5761806511580971,19730,0.019234092976174,1,14,3,3,3,1.140898923908119,2,3,-0.026393511770457165,-1.7367826544685656,-0.9733423721381878,-0.31199299600307684,50's,10k-15k,20-30,<5,<5
36,0,F,1195,Re&De,0.5881278001062117,3,LE,85,2,Male,95,2,2,MD,2,Single,0.34153025755970945,22656,-0.5864173580242138,0,13,3,3,0,-0.49876697958303323,3,3,0.177344441121138,0.5202800323431175,-0.9733423721381878,0.04493463955819317,30's,5k-10k,<10,<5,5-10
45,0,R,1339,Re&De,0.11438560306990991,3,LE,86,2,Male,59,3,3,RS,1,Divorced,0.9482243602694389,18787,0.019234092976174,0,17,3,3,1,1.3800965132450453,2,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,40's,5k-10k,20-30,<5,<5
35,0,F,664,Re&De,-1.5053496669764959,3,Medical,88,2,Male,79,3,1,RS,1,Married,-1.293225439180318,5868,0.7822646819350587,0,13,3,4,1,-0.7194887361547153,2,2,-0.5622888525337819,-0.3528710041543192,-0.11727146504788616,-0.31199299600307684,30's,<5k,<10,<5,<5
36,1,R,318,Re&De,0.37510474792386383,3,Medical,90,4,Male,79,2,1,RS,3,Married,-0.6391653589672939,21777,-1.6217853521327694,1,17,3,1,1,-1.711976498306294,0,2,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
59,0,F,1225,Sales,-1.5053496669764959,1,LE,91,1,Female,57,2,2,SE,3,Single,0.0828404373073667,24668,1.484318630192897,0,11,3,4,0,1.0742889058518768,2,2,-0.2673643643857992,0.009519418526307482,-0.11727146504788616,0.04493463955819317,50's,5k-10k,20-30,<5,<5
29,0,R,1328,Re&De,-1.0316074699401947,3,LE,94,3,Male,76,3,1,RS,2,Married,-0.9791851284467011,4956,-1.6217853521327694,0,23,4,4,1,-0.49876697958303323,3,3,-0.026393511770457165,0.29061126825485295,-0.9733423721381878,0.3217892224056365,20's,<5k,<10,<5,<5
31,0,R,1082,Re&De,-1.5053496669764959,4,Medical,95,3,Male,87,3,1,RS,2,Single,-1.0961001369744874,18775,-0.5864173580242138,0,17,3,2,0,-2.292544621589625,4,3,-1.4784079885513208,-0.8636316179711291,-0.11727146504788616,-1.675043127180746,30's,<5k,<10,<5,<5
32,0,R,548,Re&De,-1.5053496669764959,3,LE,96,2,Male,66,3,2,RS,2,Married,0.275467367670358,7346,-0.5864173580242138,0,17,3,2,2,0.14841116175654057,3,3,0.7747243810088977,0.29061126825485295,-0.9733423721381878,1.1817781057751064,30's,5k-10k,10-20,<5,<5
36,0,R,132,Re&De,-0.041631410602158754,3,LE,97,2,Female,55,4,1,LT,4,Married,-0.8033100662724506,22002,0.4489506360843417,0,12,3,2,0,-0.7194887361547153,3,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
31,0,R,746,Re&De,0.2520023621193102,4,LE,98,3,Female,61,3,2,MD,4,Single,-0.23750811319986515,20682,-0.5864173580242138,0,23,4,4,0,0.27299902599686326,2,3,0.889725624247082,0.8826704550237439,-0.11727146504788616,1.0510571351745928,30's,<5k,10-20,<5,5-10
35,0,R,776,Sales,-1.5053496669764959,4,Marketing,100,3,Male,32,2,2,SE,1,Single,-0.2761123290121364,23016,-1.6217853521327694,0,14,3,2,0,0.7717244644490785,2,3,1.2699494195012964,1.5876132420396485,0.38349791355828505,1.0510571351745928,30's,<5k,10-20,<5,10-15
45,0,R,193,Re&De,-0.041631410602158754,4,Other,101,4,Male,52,3,3,RD,1,Married,1.413518358294565,15067,0.7822646819350587,1,14,3,2,0,0.8535671492801944,3,4,-2.39452712456886,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,40's,10k-15k,10-20,<5,<5
37,0,R,397,Re&De,0.11438560306990991,4,Medical,102,1,Male,30,3,3,RD,3,Single,1.4604131111813954,25258,0.7822646819350587,0,13,3,1,0,0.7717244644490785,3,4,-0.026393511770457165,-0.3528710041543192,-0.9733423721381878,-0.31199299600307684,30's,10k-15k,10-20,<5,<5
46,0,R,945,HR,-0.22173983491699154,2,Medical,103,2,Male,80,3,2,HR,2,Divorced,-0.04693373390806305,10425,1.660253538085118,1,22,4,4,1,0.7717244644490785,2,3,-0.2673643643857992,-0.3528710041543192,-0.9733423721381878,-0.31199299600307684,40's,5k-10k,10-20,<5,<5
30,0,R,852,Re&De,-1.5053496669764959,1,LE,104,4,Male,55,2,2,LT,4,Married,-0.015774518770895782,15998,-0.5864173580242138,1,12,3,3,2,0.14841116175654057,1,2,0.7747243810088977,1.0310406461599277,0.7387994420424154,-1.675043127180746,30's,5k-10k,10-20,<5,5-10
35,0,R,1214,Re&De,-1.5053496669764959,3,Medical,105,2,Male,30,2,1,RS,3,Single,-0.8947241161925568,26278,-0.5864173580242138,0,18,3,1,0,-0.49876697958303323,3,3,0.177344441121138,0.29061126825485295,-0.9733423721381878,0.3217892224056365,30's,<5k,<10,<5,<5
55,0,R,111,Sales,-1.5053496669764959,2,LE,106,1,Male,70,3,3,SE,4,Married,1.0259276193502374,18092,0.4489506360843417,0,14,3,4,1,1.3239380538020686,4,3,-1.4784079885513208,-1.7367826544685656,-0.11727146504788616,-1.675043127180746,50's,10k-15k,20-30,<5,<5
38,0,N,573,Re&De,-0.041631410602158754,3,Medical,107,2,Female,79,1,2,RS,4,Divorced,0.042697550312193765,15717,1.484318630192897,1,12,3,4,3,0.8535671492801944,3,3,1.0934635771386776,1.3934310688405542,-0.11727146504788616,1.1817781057751064,30's,5k-10k,10-20,<5,10-15
34,0,R,1153,Re&De,-1.5053496669764959,2,Medical,110,1,Male,94,3,2,MD,2,Married,-0.27158037834690624,17736,-0.5864173580242138,0,15,3,3,0,-0.7194887361547153,2,3,-0.026393511770457165,-0.3528710041543192,-0.11727146504788616,0.04493463955819317,30's,<5k,<10,<5,<5
56,0,R,1400,Re&De,0.11438560306990991,3,LE,112,4,Male,49,1,3,MD,4,Single,0.5082484298040492,21698,0.7822646819350587,0,11,3,1,0,1.9234714500101182,3,2,0.177344441121138,0.29061126825485295,-0.9733423721381878,-0.31199299600307684,50's,5k-10k,30-40,<5,<5
23,0,R,541,Sales,-1.0316074699401947,1,TD,113,3,Male,62,3,1,SR,1,Divorced,-1.207879090301691,9518,0.4489506360843417,0,13,3,3,1,-1.3000568594380468,3,3,-2.39452712456886,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,20's,<5k,<10,<5,<5
51,0,R,432,Re&De,0.37510474792386383,4,LE,116,4,Male,96,3,1,LT,4,Married,-1.3771588317287138,18725,0.4489506360843417,0,23,4,2,2,0.14841116175654057,4,3,-0.2673643643857992,-0.3528710041543192,-0.9733423721381878,0.04493463955819317,50's,<5k,10-20,<5,<5
30,0,R,288,Re&De,-1.0316074699401947,3,LE,117,3,Male,99,2,2,Healthcare,4,Married,-0.3330367209961217,15830,-0.5864173580242138,0,19,3,1,3,0.27299902599686326,3,3,0.889725624247082,1.2838236490365953,1.988176391645514,1.0510571351745928,30's,<5k,10-20,10-15,10-15
